tta,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson
0,0.4475452492728274,0.6598192485077816,13404.666666666666,3432.6666666666665,4385.166666666667,71647.16666666667,0.40369944679688174,0.5964665321116672,0.7602989111316675,0.5316668102264156,1.9356199244686916,0.8649853847741263,0.6660692667853273,0.7790164242543335,0.860335662028609,0.7962183563054538
4,0.45185751114170064,0.6868835477990576,13438.966666666667,3286.3000000000006,4352.0,71660.7,0.4097833375523985,0.6027310761541166,0.7581112707311438,0.5405776139365261,1.9057336107411949,0.8644648200369919,0.6668493561547143,0.7770580458569264,0.863250561665922,0.8185315051309598
8,0.452094915644137,0.6893606524895465,13435.633333333333,3268.8333333333335,4355.666666666667,71629.46666666666,0.4113444625399471,0.6041156286972091,0.7580926893744963,0.5421846246759895,1.9389361065551087,0.8626559868742447,0.663663460366334,0.7763940130544701,0.8605174958494496,0.8103224608343428
16,0.4543203916556621,0.6895616279392879,13430.066666666666,3261.5,4362.0,71570.5,,0.6061986506271984,0.7590148501892,0.5442521177218226,1.9342189805808196,0.8633487859917851,0.6657768837942448,0.7758128628155244,0.8631501680675516,0.8139698229148723
